Obs,PhoneType,Email,NumberofCampaigns,ProdActive,ProdBought,Socieconomic Status,Province,Right Address,Living Area (m^2),Estimated number of cars,Probability of Second Residence,Number of Mobile Phones,Number of Fixed Lines,ADSL,3G Devices,Type of House,House Price_imp,Income_imp,House Insurance_imp,Pension Plan_imp,Credit_imp,Savings_imp,tenureYrs,tenureYrs_z,tenureGrp,ageYrs,ageGrp,builtYrs,builtYrs_z,builtYrsGrp,livingArea_z,livingAreaGrp,HousePrice_imp_z,HousePrice_impGrp,HouseInsurance_imp_z,HouseInsurance_impGrp,Income_imp_z,Income_impGrp,PensionPlan_imp_z,PensionPlan_impGrp,Savings_imp_z,Savings_impGrp,Credit_imp_z,Credit_impGrp
1,FIXED / LAND PHONE,0,4,0,0,High,OU,Right,60.44740000000001,One,Low,2.0,1.0,1.0,0.0,Urban,230139.624195,62842.06971,8010.6894,40289.46429600001,18386.272962,56033.07732,9,0.9542425094393249,up_10yrs,58.0,55-65yrs,59.0,1.7708520116421442,50-60yrs,4.118181524295109,up_100m2,5.361991399580048,100-250k,3.9036698930795133,7.5-10k,4.798250480136712,60-80k,4.605191492882598,25-50k,10.933715308213324,50-100k,4.264493703350057,up_25k
2,FIXED / LAND PHONE,0,2,0,0,Medium,VA,Right,78.01480000000002,None,Low,2.0,0.0,0.0,1.0,Urban,119859.17989500001,21367.73331,2678.2794,13824.893096000002,6240.219762000002,0.0,8,0.9030899869919435,up_10yrs,63.0,55-65yrs,65.0,1.8129133566428555,>60yrs,4.369635176692896,up_100m2,5.078671301824553,100-250k,3.4278558809466357,2.5-5k,4.329758454631523,up_25k,4.140661781712953,up_25k,0.0,up_25k,3.795199884513086,up_25k
3,FIXED / LAND PHONE,0,6,0,1,Low,BU,Right,395.032,two,Low,0.0,0.0,0.0,0.0,Urban,425006.996895,116355.65571000002,14891.0094,74436.255496,34058.121162,66860.13132000001,9,0.9542425094393249,>25yrs,68.0,65-75yrs,19.0,1.2787536009528289,10-20yrs,5.981495016070491,300-400m2,5.628396079904136,250-500k,4.17292413777849,>10k,5.065787497927414,>100k,4.871784517893344,50-100k,11.11037308056082,50-100k,4.532220686155,25-50k
4,FIXED / LAND PHONE,0,2,0,0,Low,VA,Right,514.2919999999998,two,Low,0.0,1.0,0.0,0.0,Urban,379527.587595,103866.30891,13285.2294,66466.84669600001,30400.519362,428621.27832,8,0.9030899869919435,up_10yrs,44.0,40-55yrs,40.0,1.6020599913279623,30-40yrs,6.244733730276735,500-600m2,5.5792433499411604,250-500k,4.123369057902789,>10k,5.0164746984013995,>100k,4.822605075569518,50-100k,12.968331339952119,250-500k,4.482881003152307,25-50k
5,MOBILE PHONE,0,2,0,0,Medium,GR,Right,207.164,None,Low,3.0,1.0,0.0,1.0,Urban,243853.24099499997,31065.03351,4117.1994,25338.762696000005,16838.809962,0.0,7,0.8450980400142568,>25yrs,71.0,65-75yrs,60.0,1.7781512503836436,50-60yrs,5.338326230567272,200-300m2,5.387128532069847,100-250k,3.614601900814012,2.5-5k,4.492271826424918,25-40k,4.403785404256221,25-50k,0.0,up_25k,4.226311395643505,up_25k
6,MOBILE PHONE,1,6,0,1,Medium,BA,Right,63.1542,None,Low,2.0,2.0,1.0,1.0,Urban,184256.43619500002,50241.84291,6390.6534,32249.35709600001,14696.223762,0.0,9,0.9542425094393249,10-15yrs,48.0,40-55yrs,14.0,1.146128035678238,10-20yrs,4.1612895604695295,up_100m2,5.265422666979682,100-250k,3.805545264028091,5-7.5k,4.7010655612817756,40-60k,4.508521061221127,25-50k,0.0,up_25k,4.1672057558359965,up_25k
7,FIXED / LAND PHONE,0,2,0,0,Low,MA,Right,874.7520000000003,two,Medium,3.0,0.0,1.0,0.0,Urban,639019.828395,175126.86891,22447.3014,111937.870696,51269.683362,0.0,8,0.9030899869919435,up_10yrs,56.0,55-65yrs,50.0,1.6989700043360187,40-50yrs,6.775082945831769,800-900m2,5.805514334260011,500-750k,4.351164137876812,>10k,5.243352783000294,>100k,5.048977041414978,100-250k,0.0,up_25k,4.709860635276155,50-100k
8,FIXED / LAND PHONE,0,2,0,0,Low,CO,Right,100.23200000000001,None,Low,2.0,2.0,1.0,0.0,Rustic,88411.84969500003,23921.45091,3006.6174,15454.440296,6988.108962,0.0,8,0.9030899869919435,20-25yrs,55.0,40-55yrs,50.0,1.6989700043360187,40-50yrs,4.617414912404529,100-200m2,4.946510476690258,up_100k,3.4780781664974096,2.5-5k,4.378787517419087,up_25k,4.189053281106841,up_25k,0.0,up_25k,3.8443596680948664,up_25k
9,FIXED / LAND PHONE,0,26,0,3,Medium,SE,Right,106.1548,None,Low,3.0,1.0,1.0,0.0,Urban,116848.12639499998,31730.489910000004,4010.6214,20437.310696000004,9275.023362,0.0,22,1.3424226808222062,up_10yrs,71.0,65-75yrs,21.0,1.3222192947339193,20-30yrs,4.674274517929762,100-200m2,5.067621753075389,100-250k,3.603211666805542,2.5-5k,4.501476777539023,25-40k,4.3104237472978975,up_25k,0.0,up_25k,3.967315012192734,up_25k
10,MOBILE PHONE,0,2,0,0,High,CA,Right,79.797,None,Low,0.0,0.0,1.0,0.0,Urban,324933.632595,24268.36671,3051.2214,15675.808296000001,7089.7069619999975,0.0,7,0.8450980400142568,10-15yrs,49.0,40-55yrs,60.0,1.7781512503836436,50-60yrs,4.391939836124891,up_100m2,5.511794665775474,250-500k,3.484473721673784,2.5-5k,4.385040548779271,up_25k,4.195229943725532,up_25k,0.0,up_25k,3.8506282849127613,up_25k
11,FIXED / LAND PHONE,0,6,0,0,High,BA,Right,115.9368,None,Low,3.0,1.0,1.0,1.0,Urban,117305.771895,31856.162310000003,4026.7854,20517.496296,9311.824962,0.0,9,0.9542425094393249,10-15yrs,62.0,55-65yrs,20.0,1.3010299956639813,10-20yrs,4.761633617912704,100-200m2,5.06931938159957,100-250k,3.6049584853116228,2.5-5k,4.503193455458252,25-40k,4.312124363692608,up_25k,0.0,up_25k,3.9690348037800414,up_25k
12,MOBILE PHONE,0,4,0,0,Medium,SA,Right,80.64120000000001,None,Low,3.0,2.0,1.0,1.0,Urban,331113.432195,42769.97991,3167.627400000001,28941.218696000004,13058.281962,41199.87132000001,9,0.9542425094393249,up_10yrs,62.0,55-65yrs,44.0,1.6434526764861874,40-50yrs,4.402334036510739,up_100m2,5.51997679902402,250-500k,3.5007340909601603,2.5-5k,4.631139046259191,40-60k,4.461516815027804,25-50k,10.62621468365768,25-50k,4.115886041908102,up_25k
13,MOBILE PHONE,1,6,0,1,Very High,BA,Right,48.5214,None,Low,1.0,0.0,0.0,1.0,Urban,133788.26389499998,36382.51071,4608.7434,23405.785896000005,10637.420562000001,0.0,8,0.9030899869919435,up_10yrs,64.0,55-65yrs,48.0,1.6812412373755872,40-50yrs,3.902404899382205,up_100m2,5.126418018146386,100-250k,3.6635825286785866,2.5-5k,4.560892665862008,25-40k,4.369323228012745,up_25k,0.0,up_25k,4.0268363298857,up_25k
14,MOBILE PHONE,0,2,0,0,Medium,ZA,Right,113.632,None,Low,1.0,1.0,1.0,1.0,Urban,186455.778795,50845.82391,6468.3054,32634.741096000005,14873.097761999998,45236.42532000001,7,0.8450980400142568,>25yrs,73.0,65-75yrs,44.0,1.6434526764861874,40-50yrs,4.741726997414302,100-200m2,5.270575847927354,100-250k,3.810790516862624,5-7.5k,4.706255289071532,40-60k,4.513680171619875,25-50k,10.71968001702786,25-50k,4.1724014325992655,up_25k
15,FIXED / LAND PHONE,0,2,0,0,Medium,MA,Right,201.21440000000004,None,Low,0.0,0.0,1.0,1.0,Rustic,191212.56589499995,52152.10371,6636.2634,33468.274696,14325.575562000002,0.0,8,0.9030899869919435,up_10yrs,46.0,40-55yrs,14.0,1.146128035678238,10-20yrs,5.309328520667799,200-300m2,5.28151642936025,100-250k,3.8219236152812432,5-7.5k,4.717271831673716,40-60k,4.524633324866902,25-50k,0.0,up_25k,4.156112079740936,up_25k
16,FIXED / LAND PHONE,0,2,0,0,Low,GI,Wrong,959.172,None,Low,3.0,1.0,1.0,1.0,Urban,318881.713995,65096.89011,3916.6614,11001.352296,25151.174562,0.0,8,0.9030899869919435,up_10yrs,72.0,65-75yrs,33.0,1.5185139398778875,30-40yrs,6.867112435080118,>900m2,5.503629615703408,250-500k,3.5929160279002264,2.5-5k,4.8135602414049465,60-80k,4.041446072303119,up_25k,0.0,up_25k,4.400558271454932,25-50k
